time,lon,lat,rcp26_prcptot_p10,rcp26_prcptot_p50,rcp26_prcptot_p90,rcp45_prcptot_p10,rcp45_prcptot_p50,rcp45_prcptot_p90,rcp85_prcptot_p10,rcp85_prcptot_p50,rcp85_prcptot_p90
2068-01-01,-123.13,49.29,1303.54,1645.85,2086.13,1337.48,1520.08,1837.05,1283.40,1746.59,2018.99
2069-01-01,-123.13,49.29,1365.83,1653.12,1907.30,1338.81,1600.85,1907.06,1401.46,1785.82,2144.11
2070-01-01,-123.13,49.29,1239.05,1671.21,1953.08,1356.88,1641.46,1895.18,1457.04,1767.52,2125.19
2071-01-01,-123.13,49.29,1335.52,1593.57,1983.25,1239.72,1512.60,2055.37,1427.77,1747.68,2052.49
2072-01-01,-123.13,49.29,1478.71,1616.53,1808.57,1361.68,1605.11,2036.76,1402.13,1761.73,2248.44
2073-01-01,-123.13,49.29,1406.67,1728.93,2015.19,1327.23,1683.43,1995.00,1263.37,1618.90,2077.03
2074-01-01,-123.13,49.29,1361.18,1613.41,1814.81,1358.31,1664.47,2008.48,1396.46,1619.60,2199.02
2075-01-01,-123.13,49.29,1355.66,1634.55,1887.71,1301.59,1598.26,2061.11,1406.77,1770.01,2207.52
2076-01-01,-123.13,49.29,1356.25,1517.92,1868.52,1305.45,1643.63,1855.55,1341.21,1698.78,2062.67
2077-01-01,-123.13,49.29,1253.05,1661.78,2007.32,1431.71,1684.81,1905.75,1335.62,1668.25,1992.65
2078-01-01,-123.13,49.29,1220.97,1630.73,1860.63,1321.32,1736.24,1942.68,1435.19,1642.44,2149.59
2079-01-01,-123.13,49.29,1300.21,1596.16,1869.01,1367.00,1530.09,1998.69,1431.88,1826.69,2096.34
2080-01-01,-123.13,49.29,1461.74,1621.54,1907.53,1257.70,1540.69,1902.04,1318.17,1528.49,1901.78
2081-01-01,-123.13,49.29,1425.76,1693.03,1920.72,1389.10,1563.01,2018.80,1315.58,1752.45,2056.46
2082-01-01,-123.13,49.29,1391.35,1608.57,1883.67,1404.08,1728.05,2085.61,1543.33,1769.52,2023.51
2083-01-01,-123.13,49.29,1360.23,1655.24,1889.48,1350.19,1638.93,2045.60,1306.94,1589.27,2140.08
2084-01-01,-123.13,49.29,1258.37,1585.35,1919.11,1369.98,1585.10,2028.86,1375.20,1682.66,1992.60
2085-01-01,-123.13,49.29,1327.87,1650.80,1982.51,1327.85,1690.92,1962.56,1261.91,1674.46,2019.01
2086-01-01,-123.13,49.29,1378.01,1672.92,1885.51,1363.68,1730.63,1923.61,1222.29,1703.75,2222.17
2087-01-01,-123.13,49.29,1328.88,1588.44,1943.12,1249.63,1541.52,2000.28,1410.99,1710.00,2187.89
2088-01-01,-123.13,49.29,1343.71,1570.47,1801.39,1356.30,1607.49,1981.26,1349.85,1674.39,2058.54
2089-01-01,-123.13,49.29,1338.80,1555.62,1876.81,1445.76,1735.10,2078.53,1312.81,1641.41,1974.41
2090-01-01,-123.13,49.29,1405.79,1670.49,1897.57,1217.82,1647.70,1988.61,1296.92,1587.74,2189.10
2091-01-01,-123.13,49.29,1443.50,1650.98,2028.43,1426.07,1683.06,2080.19,1353.57,1661.03,1867.98
2092-01-01,-123.13,49.29,1364.87,1649.47,1981.13,1572.57,1746.13,2071.77,1549.46,1856.50,2092.12
2093-01-01,-123.13,49.29,1567.54,1764.98,1935.95,1449.68,1808.77,2128.36,1236.87,1566.43,2229.67
2094-01-01,-123.13,49.29,1314.46,1663.46,2068.42,1342.32,1613.52,1952.90,1424.94,1681.36,2116.14
2095-01-01,-123.13,49.29,1352.64,1551.35,1868.73,1296.06,1769.16,2145.37,1241.58,1688.30,1955.61
2096-01-01,-123.13,49.29,1304.81,1554.69,2093.66,1404.92,1717.67,2064.46,1293.46,1673.17,1997.58
2097-01-01,-123.13,49.29,1302.44,1702.95,1975.68,1324.71,1547.73,2055.07,1356.84,1647.27,2163.98
2098-01-01,-123.13,49.29,1213.02,1575.52,2021.89,1390.08,1701.14,1981.93,1414.44,1601.50,2071.15
2099-01-01,-123.13,49.29,1458.12,1676.21,1963.34,1299.77,1564.19,2025.17,1374.61,1817.98,2000.21
2100-01-01,-123.13,49.29,1450.30,1721.06,1973.71,1290.98,1566.70,1933.67,1337.33,1704.64,2328.05
